ID,Marital Status,Gender, Income ,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
12496,married,female,40000.0,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,42,0
24107,married,male,30000.0,3,Partial College,Clerical,1,1,0-1 Miles,Europe,43,0
14177,married,male,80000.0,5,Partial College,Professional,0,2,2-5 Miles,Europe,60,0
24381,single,male,70000.0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,41,1
25597,single,male,60000.0,0,Bachelors,Clerical,0,0,0-1 Miles,Europe,36,1
13507,married,female,10000.0,2,Partial College,Manual,1,0,1-2 Miles,Europe,50,0
27974,single,male,160000.0,2,High School,Professional,1,4,0-1 Miles,Pacific,33,1
19364,married,male,40000.0,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,43,1
22155,married,male,20000.0,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,58,0
19280,married,male,120000.0,2,Partial College,Manual,1,1,0-1 Miles,Europe,40,1
22173,married,female,30000.0,3,High School,Skilled Manual,0,2,1-2 Miles,Pacific,54,1
12697,single,female,90000.0,0,Bachelors,Professional,0,4,10+ Miles,Pacific,36,0
11434,married,male,170000.0,5,Partial College,Professional,1,0,0-1 Miles,Europe,55,0
25323,married,male,40000.0,2,Partial College,Clerical,1,1,1-2 Miles,Europe,35,1
23542,single,male,60000.0,1,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,45,1
20870,single,female,10000.0,2,High School,Manual,1,1,0-1 Miles,Europe,38,1
23316,single,male,30000.0,1,Partial College,Clerical,0,2,1-2 Miles,Pacific,59,1
12610,married,female,30000.0,1,Bachelors,Professional,1,0,0-1 Miles,Europe,47,0
27183,single,male,40000.0,2,Partial College,Clerical,1,1,1-2 Miles,North America,35,1
25940,single,male,20000.0,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,55,1
25598,married,female,40000.0,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,36,1
21564,single,female,80000.0,0,Bachelors,Professional,1,4,10+ Miles,Pacific,35,0
19193,single,male,40000.0,2,Partial College,Clerical,1,0,1-2 Miles,Europe,35,1
26412,married,female,80000.0,5,High School,Management,0,3,5-10 Miles,Europe,56,0
27184,single,male,40000.0,2,Partial College,Clerical,0,1,0-1 Miles,Europe,34,0
12590,single,male,30000.0,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,63,0
17841,single,male,30000.0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,29,1
18283,single,female,100000.0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,40,0
18299,married,male,70000.0,5,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,44,0
16466,single,female,20000.0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,32,1
19273,married,female,20000.0,2,Partial College,Manual,1,0,0-1 Miles,Europe,63,0
22400,married,male,10000.0,0,Partial College,Manual,0,1,0-1 Miles,North America,26,1
20942,single,female,20000.0,1,High School,Manual,0,1,5-10 Miles,Europe,31,0
18484,single,male,80000.0,2,High School,Skilled Manual,0,2,1-2 Miles,Pacific,50,1
12291,single,male,90000.0,5,Partial College,Professional,0,2,2-5 Miles,Europe,62,1
28380,single,female,10000.0,5,Partial High School,Manual,0,2,0-1 Miles,Europe,41,0
17891,married,female,60000.0,2,Partial College,Manual,1,1,0-1 Miles,Europe,50,1
27832,single,female,30000.0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,30,0
26863,single,male,20000.0,0,High School,Manual,0,1,2-5 Miles,Europe,28,0
16259,single,female,10000.0,4,Partial High School,Manual,1,2,0-1 Miles,Europe,40,1
27803,single,female,30000.0,2,Partial College,Clerical,0,0,0-1 Miles,Europe,43,0
14347,single,female,40000.0,2,Bachelors,Management,1,2,5-10 Miles,Pacific,65,1
17703,married,female,10000.0,1,Bachelors,Manual,1,0,0-1 Miles,Europe,40,0
17185,married,female,60000.0,4,Partial College,Professional,0,3,5-10 Miles,Europe,48,1
29380,married,female,20000.0,3,High School,Manual,1,0,0-1 Miles,Europe,41,1
23986,married,female,20000.0,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,66,1
24466,married,female,60000.0,1,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,46,1
29097,single,female,40000.0,2,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,52,1
19487,married,male,60000.0,2,Partial College,Clerical,0,2,0-1 Miles,Europe,42,0
14939,single,male,40000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,39,1
13826,single,female,30000.0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,28,0
20619,single,male,80000.0,0,Bachelors,Professional,0,4,10+ Miles,Pacific,35,0
12558,married,female,20000.0,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,65,0
24871,single,female,90000.0,4,High School,Management,0,3,5-10 Miles,Europe,56,0
17319,single,female,70000.0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,42,0
28906,married,male,60000.0,4,High School,Professional,1,2,10+ Miles,Europe,54,0
12808,married,male,40000.0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,38,1
20567,married,male,130000.0,4,Partial College,Professional,0,4,5-10 Miles,Europe,61,1
25502,married,female,40000.0,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,43,1
15580,married,male,60000.0,2,Bachelors,Professional,1,1,2-5 Miles,Pacific,38,1
24185,single,female,10000.0,1,High School,Manual,0,1,1-2 Miles,Europe,45,0
19291,single,female,10000.0,2,High School,Manual,1,0,0-1 Miles,Europe,35,0
16713,married,male,40000.0,2,Bachelors,Management,1,1,0-1 Miles,Pacific,52,1
16185,single,male,60000.0,4,Bachelors,Professional,1,3,10+ Miles,Pacific,41,0
14927,married,female,30000.0,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,37,1
29337,single,male,30000.0,2,Partial College,Clerical,1,2,5-10 Miles,Pacific,68,0
